config_file,multiplier,mean_density,exit_flow_rate,average_car_lifetime
flow_config_1.xlsx,4,0.16,0.0,0
flow_config_1.xlsx,3,0.48,2.8799999999999994,536.0
flow_config_1.xlsx,2.0,0.72,2.8799999999999994,536.0
flow_config_1.xlsx,1.5,1.4,8.64,565.9166666666666
flow_config_1.xlsx,1.0,1.96,11.52,567.0625
flow_config_1.xlsx,0.9,2.68,15.239999999999997,549.3181818181819
flow_config_1.xlsx,0.8,2.74,17.279999999999987,561.9166666666666
flow_config_1.xlsx,0.7000000000000001,3.16,20.159999999999982,563.4285714285714
flow_config_1.xlsx,0.6000000000000001,4.02,22.439999999999987,554.59375
flow_config_1.xlsx,0.5000000000000001,4.98,28.79999999999999,564.1
flow_config_1.xlsx,0.40000000000000013,6.16,36.71999999999996,558.4705882352941
flow_config_1.xlsx,0.3,7.86,50.399999999999906,522.5857142857143
flow_config_1.xlsx,0.25,10.44,61.67999999999991,529.2790697674419
flow_config_1.xlsx,0.2,12.38,78.36000000000006,540.5779816513761
flow_config_1.xlsx,0.15000000000000002,17.1,101.64000000000004,560.6056338028169
flow_config_1.xlsx,0.1,27.42,150.72000000000006,594.9009433962265
flow_config_1.xlsx,0.09000000000000001,32.04,165.7200000000002,631.663829787234
flow_config_1.xlsx,0.08000000000000002,39.22,181.32000000000005,678.9921568627451
flow_config_1.xlsx,0.07000000000000002,49.8,193.91999999999996,771.1365313653137
flow_config_1.xlsx,0.060000000000000026,65.0,207.95999999999995,918.2020547945206
flow_config_1.xlsx,0.05000000000000003,74.96,228.95999999999995,986.0495356037152
flow_config_1.xlsx,0.040000000000000036,109.3,220.19999999999996,1199.6407766990292
flow_config_1.xlsx,0.03000000000000004,154.92,66.24000000000005,851.3804347826087
flow_config_1.xlsx,0.020000000000000046,125.82,224.28,1493.3333333333333
